SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-Charger_capacity,prefix,ProbabilityWeight,ProbabilityWeight-TES_capacity,PointProbability
203.0,-203.0,-210.0,-203.0,1218.0,-203.0,-1e+200,240147128.285,1984548.99795,240220903.029,245397181.221,236374895.717,237282162.134,242728799.166,20.0,3.93843472528e+12,0.034,0.00980392156863,69,1.38888888889e-05,0.0416666666667,2.17864923747e-08
203.0,-203.0,-210.0,-203.0,1200.0,-203.0,-1e+200,239812875.431,1836250.99123,239497952.083,243880332.913,236962869.378,237170958.808,242951114.673,20.0,3.37181770279e+12,0.034,0.00980392156863,68,1.63888888889e-05,0.0491666666667,2.17864923747e-08
203.0,-203.0,-203.0,-203.0,500.0,-203.0,-1e+200,244470392.789,2045739.47752,244654603.366,248448721.872,240068520.71,241534247.465,247030328.234,20.0,4.18505000988e+12,0.02,0.00980392156863,75,1.6339869281e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-210.0,-203.0,1300.0,-203.0,-1e+200,238433272.101,2562530.54374,238213078.55,243349645.368,234377854.559,235164007.785,242063177.638,20.0,6.56656278758e+12,0.034,0.00980392156863,70,1.13888888889e-05,0.0341666666667,2.17864923747e-08
203.0,-203.0,-203.0,-203.0,600.0,-203.0,-1e+200,242083886.86,2428483.93966,242166629.521,246673828.963,238147069.14,238158157.137,245503113.405,20.0,5.8975342452e+12,0.02,0.00980392156863,76,1.6339869281e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-203.0,-203.0,700.0,-203.0,-1e+200,240016871.334,1965188.94934,240221389.117,242286508.527,235908939.149,237329982.631,242178866.347,20.0,3.86196760662e+12,0.02,0.00980392156863,77,1.6339869281e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-203.0,-203.0,800.0,-203.0,-1e+200,238585300.368,1944589.87387,238293856.13,241791555.418,235444928.791,236275587.553,241169970.62,20.0,3.78142977756e+12,0.02,0.00980392156863,78,1.6339869281e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-203.0,-203.0,900.0,-203.0,-1e+200,236447854.311,1668457.67575,236133326.909,241362713.271,233938064.539,234395542.368,238736801.318,19.0,2.78375101575e+12,0.02,0.00980392156863,79,1.6339869281e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-203.0,-203.0,1000.0,-203.0,-1e+200,234559962.953,1967059.99075,235023064.491,238032541.606,230986532.498,232083195.546,237418899.406,20.0,3.86932500719e+12,0.02,0.00980392156863,80,1.6339869281e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-203.0,-203.0,1100.0,-203.0,-1e+200,232879739.253,1637677.83279,233563406.276,235104516.694,229026170.738,230095436.366,234816491.069,20.0,2.68198868402e+12,0.02,0.00980392156863,81,1.6339869281e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-203.0,-203.0,1200.0,-203.0,-1e+200,231264926.782,1742942.32452,231466772.752,234256564.278,227529622.171,229158803.384,233867541.914,20.0,3.03784794662e+12,0.02,0.00980392156863,82,9.64052287582e-06,0.0491666666667,2.17864923747e-08
203.0,-203.0,-200.0,-203.0,100.0,-203.0,-1e+200,249456668.255,1879678.30896,249087505.082,253075511.583,247052889.606,247139972.665,252700147.418,20.0,3.53319054519e+12,0.016,0.00980392156863,85,6.53594771242e-06,0.0416666666667,2.17864923747e-08
203.0,-203.0,-203.0,-203.0,1218.0,-203.0,-1e+200,231378365.773,2007766.31631,230915240.046,235407355.811,228049117.683,228524617.774,234324993.682,19.0,4.03112558092e+12,0.02,0.00980392156863,83,8.16993464052e-06,0.0416666666667,2.17864923747e-08
203.0,-203.0,-203.0,-203.0,1300.0,-203.0,-1e+200,229556288.79,1613363.19292,229419730.396,233532152.939,226841417.265,227232055.484,231366907.464,19.0,2.60294079228e+12,0.02,0.00980392156863,84,6.69934640523e-06,0.0341666666667,2.17864923747e-08
203.0,-203.0,-200.0,-203.0,200.0,-203.0,-1e+200,246675203.198,1200986.79621,246573725.004,248760952.566,244119234.828,245268826.775,248739502.745,20.0,1.44236928468e+12,0.016,0.00980392156863,86,1.30718954248e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-200.0,-203.0,300.0,-203.0,-1e+200,243938789.594,1993093.0306,243868298.774,247897835.005,240973987.753,241722564.217,247605308.328,20.0,3.97241982863e+12,0.016,0.00980392156863,87,1.30718954248e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-200.0,-203.0,400.0,-203.0,-1e+200,242022419.086,1595998.03022,241651259.56,245126906.463,239574804.309,240053166.927,244271667.604,20.0,2.54720971247e+12,0.016,0.00980392156863,88,1.30718954248e-05,0.0833333333333,2.17864923747e-08
