hours,price
1566.0,17.59
1567.0,20.28
1568.0,19.76
1569.0,20.29
1570.0,21.84
1571.0,22.29
1572.0,22.67
1573.0,22.01
1574.0,22.65
1575.0,23.14
1576.0,23.09
1577.0,22.93
1578.0,23.73
1579.0,33.26
1580.0,24.71
1581.0,24.43
1582.0,23.15
1583.0,19.95
1584.0,19.17
1585.0,17.62
1586.0,17.3
1587.0,16.15
1588.0,16.66
1589.0,17.49
1590.0,18.68
1591.0,22.18
1592.0,21.94
1593.0,22.45
1594.0,24.24
1595.0,25.82
1596.0,27.8
1597.0,27.59
1598.0,31.36
1599.0,32.36
1600.0,34.93
1601.0,35.11
1602.0,31.13
1603.0,41.73
1604.0,30.08
1605.0,26.35
1606.0,23.96
1607.0,23.68
1608.0,22.14
1609.0,19.48
1610.0,17.57
1611.0,15.52
1612.0,18.18
1613.0,18.25
1614.0,19.95
1615.0,25.87
1616.0,25.26
1617.0,25.3
1618.0,28.74
1619.0,29.0
1620.0,31.07
1621.0,32.96
1622.0,34.53
1623.0,35.35
1624.0,32.12
1625.0,31.17
1626.0,28.42
1627.0,34.89
1628.0,28.15
1629.0,27.18
1630.0,24.6
1631.0,23.58
1632.0,22.64
1633.0,24.06
1634.0,21.65
1635.0,17.81
1636.0,17.26
1637.0,16.92
1638.0,19.93
1639.0,22.29
1640.0,22.06
1641.0,21.66
1642.0,27.05
1643.0,29.22
1644.0,31.28
1645.0,31.7
1646.0,30.63
1647.0,28.69
1648.0,28.04
1649.0,27.89
1650.0,26.83
1651.0,30.23
1652.0,27.46
1653.0,25.74
1654.0,25.52
1655.0,21.73
1656.0,21.47
1657.0,20.84
1658.0,19.07
1659.0,16.67
1660.0,16.72
1661.0,17.89
1662.0,21.06
1663.0,22.71
