iteration,accepted,SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV
142.0,accepted,203.0,-203.0,-408.322971227,-203.144548112,1041.62334001,-203.0,-1e+200,306128851.005,425213.045094,306177575.999
143.0,rejected,203.0,-203.0,-408.322971219,-203.144548114,1041.62333996,-203.0,-1e+200,306103657.52,453361.679681,306194538.554
144.0,rerun,203.0,-203.0,-408.322971227,-203.144548112,1041.62334001,-203.0,-1e+200,306046975.51,566671.328013,306133836.821
145.0,accepted,203.0,-203.0,-408.322971229,-203.144548111,1041.62333996,-203.0,-1e+200,306090362.064,473675.3574,305997343.788
146.0,rejected,203.0,-203.0,-408.322971235,-203.144548111,1041.62334001,-203.0,-1e+200,305905551.376,439366.594401,305863455.896
147.0,rerun,203.0,-203.0,-408.322971229,-203.144548111,1041.62333996,-203.0,-1e+200,306136651.325,356576.634549,306152401.927
148.0,accepted,203.0,-203.0,-408.322971222,-203.144548111,1041.62333998,-203.0,-1e+200,306157655.712,542403.026484,306047939.188
149.0,rejected,203.0,-203.0,-408.322971228,-203.144548112,1041.62333997,-203.0,-1e+200,306062476.158,446024.101764,306020889.632
150.0,rerun,203.0,-203.0,-408.322971222,-203.144548111,1041.62333998,-203.0,-1e+200,305769541.72,524122.607549,305766754.981
151.0,accepted,203.0,-203.0,-408.322971226,-203.14454811,1041.62333999,-203.0,-1e+200,306038669.276,572904.948409,305969692.393
152.0,accepted,203.0,-203.0,-408.322971232,-203.14454811,1041.62334,-203.0,-1e+200,306194316.697,560335.880805,306289108.695
153.0,rejected,203.0,-203.0,-408.322971229,-203.144548109,1041.62334004,-203.0,-1e+200,306034338.026,401715.249528,306118850.159
154.0,rerun,203.0,-203.0,-408.322971232,-203.14454811,1041.62334,-203.0,-1e+200,305946854.259,410930.263539,305908270.303
155.0,rejected,203.0,-203.0,-408.322971226,-203.14454811,1041.62334,-203.0,-1e+200,306003264.502,454827.180099,306001357.454
156.0,rerun,203.0,-203.0,-408.322971232,-203.14454811,1041.62334,-203.0,-1e+200,306088247.005,363263.358947,306174597.953
157.0,accepted,203.0,-203.0,-408.322971235,-203.14454811,1041.62334002,-203.0,-1e+200,306158707.997,506227.636543,306249464.21
158.0,rejected,203.0,-203.0,-408.322971233,-203.14454811,1041.62334002,-203.0,-1e+200,306065203.112,528396.898042,306052178.523
159.0,rerun,203.0,-203.0,-408.322971235,-203.14454811,1041.62334002,-203.0,-1e+200,305906981.747,440797.070041,305940947.327
160.0,rejected,203.0,-203.0,-408.322971233,-203.14454811,1041.62334003,-203.0,-1e+200,305933073.4,413020.260141,306006390.41
161.0,rerun,203.0,-203.0,-408.322971235,-203.14454811,1041.62334002,-203.0,-1e+200,305998749.56,491726.942839,305947233.945
162.0,accepted,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306105973.098,517194.824898,306016803.092
163.0,rejected,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,305818448.269,379504.0774,305963965.433
164.0,rerun,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306051748.184,570425.14723,306070416.772
165.0,rejected,203.0,-203.0,-408.322971236,-203.14454811,1041.62334001,-203.0,-1e+200,305961009.668,532452.799869,306064048.583
166.0,rerun,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306024525.906,454827.224962,306008315.362
167.0,rejected,203.0,-203.0,-408.322971237,-203.14454811,1041.62334002,-203.0,-1e+200,305896559.564,350407.985255,305777598.136
